主题（动宾）,正文(可缺省),分类,场景标签,时间
"【高考后毕业后】
‌回小学，初中(写好稿子做好准备)
学老家客家话，翻看学习读书(尤其语文，应用文体等)
电脑准备各种套路模板
洗牙
学英语，按高中英语词汇等
把高初中课本看完
对妈妈好一点 ，多干点活，勤劳一点
准备好一切(应急方法，文字稿，应对方案，情况处置)
不要让自己空虚",,人生规划,,
"关于我的专业介绍
专业前景与未来
计算机出路：不要死盯着技术，只想着技术上升通道，想办法跨专业交叉
ACM，CTF",,人生规划,,
"【未雨绸缪】
能对未来实践有预警，提前准备
10.16英语提问：关于46级考试
1.百词斩可以
2.4级和6级在于词汇的差距
3.听力很重要
网络：学生时代的最大陷阱",,个人提升,,
"【年纪第一秘籍！】b站视频学习
目标：不是看学了多长时间，自己多努力，而是自己学了哪个知识点，
进步的核心是错题本身而不是刷了多少题，
木桶效应：不看长处而看短板",,个人提升,,
"【学生时代最大陷阱：自恋，自我关注】
[置顶]越糟糕，越痛苦，越活得拧巴，活着压抑和焦虑的人。
脑子里面的不切实际的幻想也就越多，绝对化的偏执和顽固也就越强。
往往这些人，都会有更强的自我关注。
而这种过分强的自我关注，也会体现在他们“对外界更高强度”的反应。
能够捕捉更多的信息，会对别人的一言一行更加关注，包括一些微小的眼神或者动作细节。
同时，他们的自我，也会呈现出一种不成熟的状态。
“因为没有足够强大的自我，所以更容易选择虚张声势”。
会选择一场轰轰烈烈的造神运动：
他们会把自己的位置抬得很高，慢慢地把自己推向神台，创造出“神格”。
世界也会更加趋向于，理想化。
包括各种意识和想法，典型的会是：
“我只要稍微努力一下，就可以超越身边的绝大多数的人。”
这样的想法， 无疑已经是在造神了，有一种“俯视芸芸众生，不屑于他人的努力，独孤求败的感觉”。
仿佛弹指一挥间，你就可以动用自己巨大的力量，完成对自己的改造，完成对世界的改造。
动漫里面，这种被称为“中二病”。
老病友了。
很明显，这是一种忽略客观事实，违背事物规律的幻想。
这份幻想里面，有两段潜台词：
我有完全自我控制的能力。
我有完全改造世界的能力。
前者，我是自己的完全主宰者。
后者，这个世界会听我的话。
我们先不谈后者，我们就只谈前者。
大多数人，根本是完全没有自我控制的能力。
“只要我稍微努力一下，或者只要我能够全力以赴， 我就可以超越大多数人。”
单单是驱动自己去努力 ，就已经艰难万分。
为什么很多人，都会下意识地认为“是自己不想努力呢？”
或者，有没有想过，也许真正的现实是“自己根本就不能努力呢？”
没有办法维持努力的状态，根本就没有足够的能力，没有足够的动力维持。
情绪能量不够，身体精力不够，意志力注意力不够。
自我控制，本身就是非常非常难的事情。
这种忽略客观现实，一厢情愿的想法，非常容易制造内耗。 
关于项目",,个人提升,,
"【关于做项目，卷】
学习东西（参加比赛，项目）要看他的：
成本 收益 风险",,个人提升,,
"【专业】
物联网工程专业课程
主要课程：
信息与通信工程、电子科学技术、计算机科学与技术。物联网概论、电路分析基础、信号与系统、模拟电子技术、数字电路与逻辑设计、微机原理与接口技术、程电磁场、通信原理、计算机网络、现代通信网、传感器原理、嵌入式系统设计、无线通信原理、无线传感器网络、近距无线传输技术、二维条码技术、数据采集与处理、物联网安全技术、物联网组网技术
等。
物联网工程专业概况
修业年限：四年授予学位：工学学士培养目标：
本专业培养能够系统地掌握物联网的相关理论、方法和技能，具备通信技术、网络技术、传感技术等信息领域宽广的专业知识的高级工程技术人才。",,学业,,
"自学编程必须注意的几个问题
1.什么都学过，什么都学不会
有深入的了解
技术分为，应用型(装Ubuntu,等)，长期型(算法，鸿蒙等)
2.老想着赚钱
3.虚假努力，欺骗自己
4.只学不练，学了就忘
5.不要轻信任何承诺和机会",,工作,,
"1.各位同学好，请各位同学撰写一篇《个人自传》， 自传末尾需署名，填写日期，于下周一亲自交至班主任老师处（注：不可代交）。
自传内容包括：
（1）个人成长经历，对这些经历的认识和看法；成长过程中印象特别深刻的事情，及其对自我的影响；自我评价，认为自己有哪些性格特点，这些性格特点对自己生活的影响等。
（2）对自己大学学习、生活的规划，包括希望如何度过自己的大学，对未来就业的规划等。字数1500字以上，需手写。
2.收到回复
自我介绍
2 见识广，是好事吗？（辩证悲观，过早司空见惯会导致对生活没有热情）我是一个见识很广的人吗？
3 血气方刚的青年！
同时我深刻明白，优点亦是缺点，充满热情朝气与活力的背后是冲动，是轻信一家之言的危险
4，年轻的我 有一个梦想（自己的梦也是中国梦）
5.专精or博学？
6.不以物喜，不以己悲。居庙堂之高则忧其民。处江湖之远则忧其君
五十年前马丁路德金倒下的时候，他的“我有一个梦想”传遍了全世界，但那时候我所谓的“我的梦想”与此梦想并不一样
‌
我长大了？
高考结束，我独自收拾着山一般的试卷和翻到满是褶皱的，翻到烂的复习资料和课表，突然间一个积满灰的手表映入我的眼帘，勾起我的回忆
那是一块珍贵的卡西欧机械表，贵不仅在于价格昂贵，更在于那时候我对它苦苦迷恋的追求，炫酷的表盘，时尚的功能，太阳能充电，夜间荧光，全球时区，在那时这样的一款手表集齐了我对科技感手表的所有想象，“谁曾经没有一颗攀比心呢”我迫不及待地每天戴着他上学，跟同学炫耀。但好景不长，很快我就意识到它的巨大缺陷：它太笨重了。不论是写试卷和作业时卡手，还有跑步的摆手，夏天手上的一点汗积攒在身上都会让手腕难受无比。不久，这块华丽的表就被我弃如敝履，闲置在房间的角落。大概是从那时候起，一直到现在 身边同学买炫酷的单车，成千上万的鞋，最新的iPhone和电子产品都能“略无慕艳意”，同学和我也互相影响，到高三毕业时，我们班上鞋和校服裤大都风尘朴朴，仿佛在比谁的鞋子穿的更久更破，谁的裤子穿破了洞，谁的衣服更加泛黄，“那不是旧脏，那是我在这个学校学习生活的勋章”。在物质生活充裕的今天，这种事似乎成了奢求，但确确实实在我们身边发生，且这一切的一切，对于几年前的我，和大多数现代青年来说，似乎是荒唐的，难以企及的。难道这就是父母长辈从前念叨的，“长大了”么。
一方面，拿得起放得下，一方面，悲观
能辩证不跟从
我有一个梦想。
古时候的秦始皇很阔气，刘邦言“嗟乎，大丈夫当如此也。”项羽说，彼可取而代也。羽要取什么呢，那便是邦说得“如此”。稍微不妥当的是，对于现在的我来说，不仅希望以身作则影响他人和社会，更希望好的风气和人能影响自己。
我所学习的物联网专业，我所在的计算机大类，所属的工科领域，谓何为何我大都不清楚，但我所知道的是，一直的大量的学习和实践，科学技术是首要生产力，多承担任务
印象最深的经历其二，大概是我自认为独特的家国观念
就我的性格而言，我自认我是一个平凡的人，但平凡和不争绝非平庸和无能，平凡的人，也即“普通人”，在我看来，是平静的人，能够接受自己的普通。但谁说普通不能独特呢，我想我们都是普通而独特的人，平凡又伟大的人，平凡何妨影响我们立鸿鹄之志，不苟且于安身立命，不纵情于骄奢淫逸，何妨影响我年轻气壮，血气方刚
大学四年里，我绝不“躺平”，但我也必不愿为欲所为，不做不该做之事，为道义，为亲情和为自己而努力，是平静中一种高级的高雅。
大学学习方法",,学业,,
要积极跟陌生人沟通（减少隔阂，说明来意，经常道歉）,,交往,,
健康生活，减肥会让你的身体非常脆弱（没有鲁棒性 经不住风险等等）,,工作,,
"扎实的走好每一步！才最重要
别想着跳步走",,个人提升,,
所有人都会遇到边际效应递减的问题：当到了某个程度后举步维艰,,个人提升,,
ddl是第一驱动力（学习要有阶段性目标催促自己）,,个人提升,,
你要干的事情很多，每件事情可能是另一件事的必须因素（比如学习多少基础知识，去学习专业知识，学习多少专业知识去实践）,,个人提升,,
"创意没有方法论，只有灵感
多关注自己，少关注别人",,个人提升,,
2：1最适合手机和电脑观看的比例,,网络,,
"保留所有的证据
越详细越好",,工作,,
要勇敢反抗，咬死不承认,,个人提升,,
创意是个特别脆弱的东西，假如一瞬间没有想到记录下来可能就没了,,个人提升,,
"当视频的制作有流水线
你觉得的爆款视频已经有流水线上源源不断的生产加工出来的时候，你的快乐和欲望就和视频一样是，在流水线上的",,工作,,
内卷，速成，快过,,个人提升,,
"不要在线上聊天时保留任何态度
防止后人翻看",,交往,,
b站连年亏钱的原因（没有盈利能力）,,工作,,
基础设施的大厂是最赚钱的,,工作,,
"如果那是我们的未来，那么我想改变
人生的退路
层高 低 压抑
人类是个群居动物啊
人这一生啊。。
日本前所未有的独居人数。。
父母在 人生尚有来处，父母去 人生只剩归途
看着别人表演，唱歌跳舞拍mv很开心，可能是人家（因为工作）装的很开心
这就是人存在的价值。有时候等到回不去了才去想 就已经来不及了",,个人提升,,
留一点仪式感！,,个人提升,,
人真的相当复杂 年纪越大越复杂,,个人提升,,
"苏联/俄罗斯
不靠东不靠西。丢失了自己的文化，怀疑自己的信仰，向前没有道路，向后一片黑暗。只剩下自己固执的骄傲在撑着
伤痕文学，前苏联 淡淡的哀伤",,个人提升,,
学习是个长期事情，不在乎谁走得快，而在乎谁走得远,,个人提升,,
"一定要尊重老同志，老同志的话一定要认真思考
少年得志，容易栽跟头",,个人提升,,
开场白可以看似随意，但是一定要暗藏杀机,,个人提升,,
"国足腐败事件
你所认为的东西就是你所认为的吗？比赛并不是比赛而是金钱的买卖",,个人提升,,
"所有病都分器质性的和功能性的（有症状但是没有病变，跟心情有关系）
紧张焦虑恐惧，消化道是情绪器官，很受心情影响",,个人提升,,
"期末碎碎念
不要聊骚！尤其跟别人（不管男女）
不管说什么话都要考虑未来（自己会作为证据和聊天记录）
要默认所有地方都有摄像头，包括厕所等等
不要干不该干的事情，很horroible
要尤其注意防偷拍 和不要随便拍照
伪装身份，多电话卡，数据加密等措施",,个人提升,,
"REASON模型
一个大的事故背后是千个小事故和万个隐患
多个因素叠加导致了重大事故的发生",,个人提升,,
商业包装的重要性,,工作,,
"校史馆
历史的沉淀才是关键，著作本身不是
育才红楼 不亚于北大红楼",,个人提升,,
"全职up收入
不接商单 不签合同 不直播的话，每个视频百万播放只有一千元不到（粗浅估计）
而一个百万播放的视频都要10天以上。
纯收入一个月也就3k（减掉成本肯定负不知道多少万）",,工作,,
"做的不好不要责怪别人，主动帮他做就完事了
因为你不知道别人是什么状态（发烧，失恋等等）
事出反常必有妖",,个人提升,,
求职要熟悉撒谎（不考研，等等）一切都是有变数的,,工作,,
"做人不能太老实
up这个视频我太有共鸣了，我从小到大都是乖孩子好同事好人，但是老实也让自己吃过很多亏，父母总说吃亏是福，但是确实错失很多机会。让自己主动起来，积极起来！
中庸之道不是平庸之道，中庸是不偏左不偏右。
我爸妈从小就给我灌输中庸之道，凡事不做第一个，不要与人争执，不要惹麻烦，跟大部队走等等，踏上社会了，才发现不争取就不给你，让一步就步步让，规矩是弹性的，不守规矩的人得到的最多最好，所以我改变了，才能适应这残酷的社会
以前觉得拒绝别人不好，会觉得亏欠，但不拒绝他，自己又很苦恼。在实在受不了终于鼓起勇气拒绝后，发现可以剔除很多不必要的社交，甚至避开一些有问题的社交，这样就很轻松了。人生在世，还是对自己好点吧
任何规则都是都可以商讨的余地的
没有损失的可以多争取，不要太老实
不要死脑筋
面对牛人时，不要只做仰望者。当你伸出手“你好”的时候，你们两个的生活也许就会有交集
世界的资源总是会向不老实的人倾斜，他们精力旺盛，脑洞大开，有打破常规的勇气
不要因为怕事而错失很多机会
做个狠人
不要在意别人的眼光
知道自己该干什么，不要被他人影响
光明磊落不搞小动作
提前开始催，提前开始做
不要为了让自己显得独特而靠拉踩衬托，因此而看不起别人
反应快 要知道每个问题的严重性
当你自己能力大了之后，你往往不会去炫耀自己
不要把快乐建立在别人的痛苦之上",,"工作, 生活",,
"专题：如何戒瘾
把时间放在交流，而不是网络上
熟人≠朋友，一起玩≠互相成长
锻炼社交技巧（主动参与，而不是逃避）
做一些有意义的活动
做有意义的活动：比如志愿等等",,个人提升,,
"搞活动一定要有主题，尤其是有陌生人，
学习华为HDC搞活动的策略，不要纯交易，而是劳动获取。
（尤其是比如摆摊等等）
要有小礼品相赠
摆摊不要纯“赚钱”性质，有一个公益或者科普主题吸引人流量，然后",,个人提升,,
"lyw 没有素养 不可信任 看人隐私
对舍友不要太信任
不要花时间在一些很小的事情上
跟厉害的人见面，都需要准备一个方案，等等
和陌生人知道你，要准备好一个东西
人生总结实录
大学生活 tips
因为群很多，每个群（临时群）标注区域+时间+活a动
",,个人提升,,
"说的其他话：
关于F爱情：什么叫门当户对，太强太弱都不行，要在纳什均衡点
不要炫耀自己很聪明，聪明人并不被讨好
太强和太弱都不好
朋友之间都是相互出卖的，只有利益没有友情
-陈增源 python课",,个人提升,,
"算了吧
你根本就没想过找我
就算真的和我你也会全身别扭不开心的，还不如算了",,交往,,
"大家都是成年人了 还玩我一定要展现出来我痛苦我才是真痛苦那一套吗
关系是在三观大致相同的基础上建立的 如果连前提都达不到 又何谈后面的东西
越是无知的人越觉得自己无所不知 人一旦站在愚昧山峰 就自以为看到了全貌而沾沾自喜 却不知只是一叶障目 
我们了解自己多少 又有多了解别人 别真当自己在井里看到的那片天就是所有 更别往俯身看你的人脸上扔泥巴 谁都是人 心不是只有所谓的弱势方才会痛的",,交往,,
"不要怕追女生，有时候你是没办法区分你在追还是其他的
增加联系：不应该送那些一次性的礼物，而是刻意送一些需要持续维护的礼物 ",,交往,,
vlog人要比景色多,,生活,"旅行, 团建",
底层人民都很勤劳都很热情，但就是没有钱 ,,网络,,
不要跟别人深深嵌套（会增加很多风险）,,交往,,
跟别人沟通的时候，先考虑别人需要什么，而不是自己需要什么， ,,交往,,
"要想成为高端人士，要先从各个方面接近
保证你的人脉和能力都比看不起你的人强，你的未来一定比他好 ",,交往,,
现在的人都讲究反差：做你份内的事情只是基本功（大家不会觉得你很厉害才奇怪，因为知道的人很少），而比如自媒体等等，扩大自己的影响力，优势更大 荒诞的互联网,,个人提升,,
"每个人都为自己的平凡发愁：每个人都想尽办法“当网红”
每个人都有当网红的15分钟，但是然后呢？
玩抽象的越来越多",,个人提升,,
"穷人本来就没有什么面子 没有什么尊严
但你愿意当没面子没尊严的人吗。 ",,个人提升,,
量变会引起质变 ,,个人提升,,
"那些不太care你的人，不是他们看不上你，而是他们高攀不起。你的前途过于辉煌，以至于他们根本不敢攀附 
每一个改变都是量变引起质变的过程 ",,个人提升,,
"女生真的很难懂
不要拘小节，多送礼物，关系比钱更重要",,交往,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
"创意是不值钱的，因为被盗取创意是很容易的事情
所以什么值钱呢？投资 资金 背景 前期工作 市场占有率 生态
感觉技术也不是那么值钱（技术好的多了去了 只有金字塔能吃饭）",,工作,,
,,,,
,,,,
,,,,
,,,,
"个人计划可别盲目用OKR，得看自己是不是适配啊。目标得是可衡量的，还得有挑战性，否则就是瞎忙活，不如定个实在点的，一步步来
我觉得吧，用OKR法则做计划，关键在于要灵活调整目标，别过于追求完美。否则，计划就会变得死板，失去意义，反而让人更加焦虑呢。",,个人提升,,
,,,,
,,,,
"男生女生每个阶段的审美都会变化
“船到桥头自然直”",,个人提升,,
,,,,
"
自己自信，相信自己的决策（特别是定几天酒店，坐什么高铁）
不要听别人的意见（自己的学识和判断是没有问题的）",,个人提升,,
,,,,
,,,,
"pyq要给人评价的空间
比如夸夸
比如提问
（留有悬念：这是哪 这是啥 等等 让别人主动联系你）",,个人提升,,
"非线性工作逻辑：
边旅游边工作
边旅游便被人找
要接受多线程工作
上了班之后，你会遇到不是一个线性的东西（比如边工作还有其他事情，遇到一些主次要矛盾的冲突）或者说多件事情并行
考验多线程规划能力",,个人提升,,
"主要矛盾
主要矛盾的主要方面
主要次要一起抓
人生是非线性的，不是和学生思维一样，干完一件在干一件",,个人提升,,
"如何避免自己“白学了”
和“我的时间都去哪了”，复习了
建立时间追踪体系，防止时间悄悄流失
（不然感觉复习一年，最后80分是什么鬼啊）",,个人提升,,
,,,,
"
不要在社交平台上关联太多东西",,个人提升,,
"怎么戒手机：关闭个性化推荐即可
怎么戒社交：关闭消息通知",,个人提升,,
奖励会导致记忆力下降,,个人提升,,
计算机有些东西你用多了就熟悉了，但是没用过就要死记硬背了,,工作,,
,,,,
,,,,
,,,,
欧美人不喜欢刺探性问询的方式，多多少少试探别人的隐私,,交往,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
"高等教育不在于学了多少知识 而是学了多少逻辑思维能力和自我认知的方法
",,个人提升,,
"我也不记得汶川那年我在几年级了，只记得小学的毕业考试，考了一篇汶川地震的，哭的稀里哗啦考场上直接泪崩，脑补着各种各样的画面
印象比较深的还是母亲蜷缩着，怀里抱着自己的孩子，手机里留了信息“亲爱的宝贝，如果你能活着，一定要记住，我爱你”
那种感动，真不是一般人能体会到的，相信亲临的人就更有体会了。
推荐《云裳》《杨等等的成长时光》
真的有很大感悟",,网络,,
"17岁高二录:趁着还记得小学生活，就提出一下对小学教育改革的看法吧
多看故事，看以前的事，真的有很大感慨",,个人提升,,
仔细思考 回形针事件 网络暴力,,个人提升,,
"饭圈思维 早已禁锢了我们
总想听点不一样的
由一人舌战群儒",,个人提升,,
"no shoot！
发扬勤劳朴实勤俭节约的好精神
大声勤道谢
谦恭礼让心(要谦虚，你不行的东西就是不行不要逞强勉强)
勿添人设，束缚自我",,个人提升,,
"不要粗鲁，不要冲动
不自私，但不做吃力不讨好之事
现在只为学习，只为高考
务必开诚布公 不能心胸狭窄，大方，不自私
网络上说话一定要真实，不能做作
待人要真诚，不能骗人
不能拿亲情当做攻击亲人的武器",,个人提升,,
"【志愿填报】
建议高考的毕业生，去你们本省的人事考试信息网，去看看今年你们当地公务员、事业单位的招录简章及职位表，看看哪些专业毕业是可以考公哪些是根本没机会的，多给自己留条路，特别是家庭出身一般的学生。
你可以不考公考编，但不能把自己退路给断了，别听别人忽悠，结合自己实际的家庭情况选专业。适合自己的就是最好的。
1.同档次看专业，不同档次看学校
工科避雷：纺织，不想月薪三千的，跑！
食品，除非家里有厂，否则，跑！
轻化，珍爱健康，跑！
化工，爱惜生命，跑！
制药，除非喜爱，要不赶紧跑！
地质土木，可以干，（异地恋的请务必注意头顶颜色）
车辆工程，认识的大多转行销售，坑
环境工程，天坑啊天坑不解释
计算机，摸摸头顶，能抗住还不错的，多积累实战项目经验，加班肝就完了
采油探矿采矿勘探，女生墙裂不建议，男生看命
轮机工程，《我飘在海上的半辈子》
机械自动化，恭喜你，这行上限下限都贼离谱，不过还算靠谱
工科目前就知道这些，有其他的欢迎补充
能源与动力工程，别的学校我不知道，反正我们学校转专业率高的离谱，当初我去交转专业申请表的时候，导员直接说的:能动专业根本留不住人[笑哭]
职业 不能啥都学 啥都不精通
额，医学类来说一下吧，虽然很多人说“劝人学医，天打雷劈”但是吧，呜，
如果你虽然不知道自己未来要干什么，但是想找一份稳定的工作的话，医学类还是很推荐的，注意，是医学类，不单单指医生，包括护士，检验，药剂，解剖，这医学类专业有一个好处，无论在最偏远的山村，还是最繁华的城市，先不说有没有一席之地，最基本能你让你有口饭吃，而且这类职业不会因为你年纪大而开除你，也不会因为人才过多而裁员，基本上一辈子不用担心没饭吃，所以还是很推荐的。
当然啦，有利也有弊，仅对你个人而言，每个学期总是要背长篇大论，各种医学名词和医学公式，各种繁琐麻烦的实验和实验步骤和过程。但这些付出的成本和带来的收获，这里性价比的比例还是很高滴。作为一份赚钱吃饭的工作，医学类还是很推荐的、
赞同，我是口腔毕业。我觉得学医挺好，专业性强，有就业门槛，非医学毕业生根本不可能来抢饭碗
学医除了临床，麻醉，口腔之外，其它医学相关专业就业都不行。
总是劝人本科学金融的真是没受过社会毒打，还有不是985211的不要选生化环材
电子信息工程，不读研就等死
法学 计算机 医学，这三个，无脑选，绝对没错；
生化环材、传统工科（机械、土木、能源等等）谁读谁是啥b
其实大学最好不要玩，最好一开始就加社团，考证，实习。不然大学毕业你会发现无路可走
",大学专业 未来 事情,网络,,
,,,,
"小时候才会对这么东西在乎，因为失去了就很难再有了
而现在你不必事事都在乎，因为大不了重新再来
",,个人提升,,
因为我要考研，我认为本科阶段都可以不断的尝试新的东西，不拘泥于自己会的,,人生规划,,
"【杂谈】我喜欢的大学老师
能考研优先考研
能大厂优先大厂
樊钧是很喜欢的老师
物联网比计科更厉害or更差
物联网写程序写的少，做的要慢一点（能力差一点）
老师其实什么都知道，只是不说而已（踏实最重要）",,学业,,
讲话不要太虚（刘🐟萌）听着很难受,,学业,,
对一个领域，要慢慢的了解，一点一点的使用（趁早不趁晚）。不要单纯的学习知识技术，而是学习方法,,工作,,
任意的计算都可以用有限状态机实现,,工作,,
计算机学科一定要好好学数学,,工作,,
要同时学习 运营维护和前期开发（探索与开创）,,工作,,
影响技术的发展很大一方面是钱（没有使用三进制电脑的原因）,,工作,,
技术要是不持续更新迭代的话就会失效过期,,工作,,
二进制、三进制、量子计算是未来的主流（量子计算可并行可叠加）,,工作,,
未来的编程可能是量子化编程（要关注不要焦虑）,,工作,,
技术的发展-> 与经济发展和战争有关（战争时期会加速技术的发展），要关注择业与经济发展的方向,,工作,,
吹b占大部分讲课（一页ppt讲一节课 ）,,工作,,
计算机的两大方面是模拟和数字（模拟机和数字机）,,工作,,
对一个领域的了解要多而广 > 细而深（对未来有好处 对现在无用）,,工作,,
一些概念的解释：要知道概念在讲什么，有一些通用的知识,,工作,,
所有东西、技术的尺度、都要根据应用场景（5G的应用场景，根本就不是给用户终端手机通信设计的）,,工作,,
参与标准指定是很重要的（例如华为就痛失了所有5G的标准，只参与了主要的5G标准）,,工作,,
要多想 多深挖 一个问题（出发点）会引起一大堆问题,,"工作, 个人提升",,
樊老师很直接：直接问，有话直说。有事直接找,,学业,,
"宽容度最大 很大（大学老师）
普普通人的课程要求就是A（不需要基础，只需要踏实和坚持）",,学业,,
穷则独善其身，达则兼济天下,,个人提升,,
"不断迭代积累技术栈
linux是大学生课设项目开源而成的",,工作,,
嵌入式岗位变多了。但还是不太好找工作,,工作,,
"两大方向：
产品化改造
性能突破
去腾讯实习的人，有分数例外
去看看华为需要什么样的人才
理论课和实验内容是区分开的",,工作,,
"fj一直再给同学们暗戳戳找理由（偷跑，开饭，国庆，而且不需要请假）
做完的同学晚上是不是有事儿",,学业,,
"大学生活反思
关于生活
学会高情商
大学学习 自我反思
1.孤独感 很重要
2.“你的努力可能会毁了你”，不要“逼”自己努力
自律不能超出承受范围且不能保持
成功≠努力+努力+努力，不要折磨自己
不要老抱怨自己蠢/笨，要认识到自己就是个普通人
不要有攀比心，不要嫉妒。
愚者嫉妒，智者互抬
尊重别人，
不要拿要求自己的标准要求别人
不要苛刻
自己品德高尚就行了
不要交不停消耗你的人，宁愿孤独
自己不要成为，也不要交这样的人：
对别人负面评价
否定别人的想法，努力和成就
对别人的错误和不幸窃喜
把别人当自己的竞争对手
不能很好的和别人合作
对自己能力，地位缺乏安全感
客观上比不过就主观上打压，不要靠跟别人对比获得自己",,学业,,
"6.25
不要怕吃亏，要会吃亏
压力来源于自己对事情的控制程度
(作为大学生)不要吹牛！
学会讲故事，演讲等
不要刻意认识别人或者刻意跟谁谁走 遇到或者突然的缘分就一起是最好的。
“基本上，一切人际关系矛盾都起因于对别人的人生课题妄加干涉或者自己的课题被别人妄加干涉”
让干涉你生活的人见鬼去～
——《被讨厌的勇气》
一个博弈过程，要积极参与
师傅节假日能多赚多少啊
要养家，多赚不了多少钱。
那就不干了，平台自然会提高价格
鸡汤，感言
“我们莫名其妙地觉得每个人都在关注我们，但现实是，没有人比自己更关心自己。
甚至，没有人关心你的失败，没有人等待你的出
丑。”
Tom Vanderbilt",,个人提升,,
"自学编程必须注意的几个问题
","1.什么都学过，什么都学不会
有深入的了解
技术分为，应用型(装Ubuntu,等)，长期型(算法，鸿蒙等)
2.老想着赚钱
3.虚假努力，欺骗自己
4.只学不练，学了就忘
5.不要轻信任何承诺和机会",工作,,
"注意
生活，四大项：
1.建立良好的人际关系，特别是宿舍成员，班级朋友，这些因素会考虑到你学习的效率，大学生活的心情态度。相比初中，高中交友，大学的人际关系处理更为重要。随机应变，乐观积极，天天向上。
2.更好的独立思考能力，大学不会像初中，高中，学校把你很多时间安排得井井有条，大学的课程一天多数是安排不满的，紧接着就变为了生活独立安排，学会规划生活费，培养自己的独立意识。
3.良好的生活习惯，大学安排好是一个愉快且轻松的环境，这些欢声笑语时常让我们沉醉于此，但是常常的没有生活习惯，你的健康就得不到保障，记住养成良好习惯，适当运动。
4.小心，大学因为更加开放，因此你可能会受到更多诈骗因素，不要相信非官方的第三方免税贷款等看起来极其好赚钱的项目。除外大学还可能存在一些诈骗方式（常见网络诈骗），遇到相关事件请谨言慎行，不确定的，最好能和伙伴，老师交流决定。
学习，四大项：
1.大学是人真正的新起点，不管你学了是出去工作，还是继续考研，考博进行深造，都必须要过渡大学才行，所以学的专业技术越多，以后才有更大可能越轻松。
2.有一个梦想，制订一个目标，一个符合实际能力的“大”目标，并朝向目标前进，这样你才会有更多的动力。
3.知识的海洋，学校的教学知识往往只是基础，如果你有更加强大的技能梦，你需要借助互联网，继续学习这些知识，帮助你更好的理解技术，毕竟社会都是以实力说话的，没有实力，何来工作和金钱。
4.不要参加学生会，大学你的时间就是金钱。不积极向上，就没有好果子吃，具体原因这里不在细讲。大家能理解就内在理解就好。
以上大多建议都是需要日常注意的，运用合理，你就有一个快乐充实的大学生活。
最后，祝你度过一个充实的大学。
[热词系列_完结撒花]
大学学习方法",,"学业, 生活",,
"【学习方法反思日记】
1.关于学习的比喻：为什么不如别人
★只跟自己比：一个人的s取决于s0（起点），v（一天花的时间）和a（学习效率）
为什么jyy这么厉害分析：
s0相同，
我的v，a分析
为什么不谈恋爱-因为浪费时间
1.时间：
有充分利用的时间：中午（可以改进：中午不回了，但是多出来的时间做什么？）
没有充分利用的时间：周末，玩游戏
2.效率：
这是方法论的实践，比如遇到卡脖子的能跳过就不要死磕
我的人际关系解决方案：
分清楚“work mates”和“life mates”
养成含有正反馈的习惯
跨纬度学习很重要：
护肤要趁早
有时间出去旅个游
多陪陪父母
不要太和群，也不要不合群
本科学习是为了培养你认识世界的方式，
一定要有真才实学而不是一知半解
永远不要质疑自己（特别是自己过去的选择）",,个人提升,,
"【专业】
物联网工程专业课程
主要课程：
信息与通信工程电子科学技术计算机科学与技术。物联网概论电路分析基础信号与系统模拟电子技术数字电路与逻辑设计微机原理与接口技术程电磁场通信原理计算机网络现代通信网传感器原理嵌入式系统设计无线通信原理无线传感器网络近距无线传输技术二维条码技术数据采集与处理物联网安全技术物联网组网技术
等。
物联网工程专业概况
修业年限：四年授予学位：工学学士培养目标：
本专业培养能够系统地掌握物联网的相关理论方法和技能，具备通信技术网络技术传感技术等信息领域宽广的专业知识的高级工程技术人才。
",,学业,,
"【未雨绸缪】
能对未来实践有预警，提前准备
10.16英语提问：关于46级考试
1.百词斩可以
2.4级和6级在于词汇的差距
3.听力很重要
",,"个人提升, 工作",,
【年纪第一秘籍！】,"b站视频学习
目标：不是看学了多长时间，自己多努力，而是自己学了哪个知识点，
进步的核心是错题本身而不是刷了多少题，
木桶效应：不看长处而看短板",个人提升,,
